Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross,Release Year,Release Month,Release Month Name,Release Quarter,Decade,Season,Inflation Multiplier,Rank (Nominal),Rank (Inflation Adj),Pct (Nominal),Pct (Inflation Adj),Gross Bucket (Nominal),Franchise Tag
Secretariat,2010-10-08,Drama,PG,59699513,63781920,2010,10,October,4,2010,Fall,1.068382585,183,260,0.3161,0.4491,$50–100M,Secretariat
Tangled,2010-11-24,Adventure,PG,200821936,214388548,2010,11,November,4,2010,Fall,1.067555429,45,74,0.0777,0.1278,$100–300M,Tangled
Tron: Legacy,2010-12-17,Adventure,PG,172062763,183619259,2010,12,December,4,2010,Winter,1.067164422,55,93,0.095,0.1606,$100–300M,Tron
Gnomeo and Juliet,2011-02-11,Comedy,G,99967670,106270797,2011,2,February,1,2010,Winter,1.063051655,103,167,0.1779,0.2884,$50–100M,Gnomeo and Juliet
I am Number Four,2011-02-18,Adventure,PG-13,55100437,58574607,2011,2,February,1,2010,Winter,1.063051587,198,278,0.342,0.4801,$50–100M,I am Number Four
Mars Needs Moms,2011-03-11,Adventure,PG,21392758,22741603,2011,3,March,1,2010,Spring,1.063051478,363,434,0.6269,0.7496,$10–50M,Mars Needs Moms
African Cats,2011-04-22,Documentary,G,15428747,16401551,2011,4,April,2,2010,Spring,1.063051394,414,467,0.715,0.8066,$10–50M,African Cats
Zokkomon,2011-04-22,Adventure,PG,2815,2984,2011,4,April,2,2010,Spring,1.060035524,575,575,0.9931,0.9931,<$10M,Zokkomon
Prom,2011-04-29,Comedy,PG,10130219,10768946,2011,4,April,2,2010,Spring,1.063051648,463,503,0.7997,0.8687,$10–50M,Prom
Pirates of the Caribbean: On Stranger…,2011-05-20,Adventure,PG-13,241063875,256263359,2011,5,May,2,2010,Spring,1.063051687,31,59,0.0535,0.1019,$100–300M,Pirates of the Caribbean
Cars 2,2011-06-24,Adventure,G,191450875,203522177,2011,6,June,2,2010,Summer,1.063051694,48,79,0.0829,0.1364,$100–300M,Cars 2
Winnie the Pooh,2011-07-15,Adventure,G,26692846,28375869,2011,7,July,3,2010,Summer,1.063051463,319,405,0.5509,0.6995,$10–50M,Winnie the Pooh
The Help,2011-08-10,Drama,PG-13,169705587,180404976,2011,8,August,3,2010,Summer,1.063046769,57,96,0.0984,0.1658,$100–300M,The Help
Fright Night,2011-08-19,Horror,R,18298649,19452402,2011,8,August,3,2010,Summer,1.063051267,392,453,0.677,0.7824,$10–50M,Fright Night
Real Steel,2011-10-07,Action,PG-13,85463309,90848019,2011,10,October,4,2010,Fall,1.063006102,125,201,0.2159,0.3472,$50–100M,Real Steel
The Muppets,2011-11-23,Comedy,PG,88625922,94189503,2011,11,November,4,2010,Fall,1.062776001,123,190,0.2124,0.3282,$50–100M,The Muppets
War Horse,2011-12-25,Drama,PG-13,79883359,84762149,2011,12,December,4,2010,Winter,1.061073922,139,212,0.2401,0.3661,$50–100M,War Horse
The Secret World of Arietty,2012-02-17,Adventure,G,19192510,20325733,2012,2,February,1,2010,Winter,1.059045065,384,448,0.6632,0.7737,$10–50M,The Secret World of Arietty
John Carter,2012-03-09,Adventure,PG-13,73058679,77372445,2012,3,March,1,2010,Spring,1.059045223,150,226,0.2591,0.3903,$50–100M,John Carter
Chimpanzee,2012-04-20,Documentary,G,28965459,30675725,2012,4,April,2,2010,Spring,1.059045016,301,393,0.5199,0.6788,$10–50M,Chimpanzee
The Avengers,2012-05-04,Action,PG-13,623279547,660081224,2012,5,May,2,2010,Spring,1.059045218,2,11,0.0035,0.019,>$300M,The Avengers
Brave,2012-06-22,Adventure,PG,237282182,251292441,2012,6,June,2,2010,Summer,1.059044716,32,64,0.0553,0.1105,$100–300M,Brave
People Like Us,2012-06-29,Drama,PG-13,12431792,13165822,2012,6,June,2,2010,Summer,1.059044585,439,487,0.7582,0.8411,$10–50M,People Like Us
The Odd Life of Timothy Green,2012-08-15,Drama,PG,51853450,54914942,2012,8,August,3,2010,Summer,1.05904124,210,291,0.3627,0.5026,$50–100M,The Odd Life of Timothy Green
Frankenweenie,2012-10-05,Comedy,PG,35287788,37363513,2012,10,October,4,2010,Fall,1.058822758,271,360,0.468,0.6218,$10–50M,Frankenweenie
Wreck-It Ralph,2012-11-02,Adventure,PG,189412677,200354959,2012,11,November,4,2010,Fall,1.057769534,49,83,0.0846,0.1434,$100–300M,Wreck-It Ralph
Lincoln,2012-11-09,Drama,PG-13,182207973,192122330,2012,11,November,4,2010,Fall,1.054412312,51,87,0.0881,0.1503,$100–300M,Lincoln
Oz the Great and Powerful,2013-03-08,Adventure,PG,234770996,243434130,2013,3,March,1,2010,Spring,1.036900359,33,67,0.057,0.1157,$100–300M,Oz the Great and Powerful
Iron Man 3,2013-05-03,Action,PG-13,408992272,424084233,2013,5,May,2,2010,Spring,1.036900357,9,22,0.0155,0.038,>$300M,Iron Man 3
Monsters University,2013-06-21,Adventure,G,268488329,278395641,2013,6,June,2,2010,Summer,1.036900345,24,51,0.0415,0.0881,$100–300M,Monsters University
The Lone Ranger,2013-07-02,Western,PG-13,89302115,92597388,2013,7,July,3,2010,Summer,1.036900279,121,195,0.209,0.3368,$50–100M,The Lone Ranger
Disney Planes,2013-08-09,Comedy,PG,90282580,93614037,2013,8,August,3,2010,Summer,1.03690033,118,192,0.2038,0.3316,$50–100M,Disney Planes
The Fifth Estate,2013-10-18,Drama,R,3254172,3374251,2013,10,October,4,2010,Fall,1.036900016,537,546,0.9275,0.943,<$10M,The Fifth Estate
Thor: The Dark World,2013-11-08,Adventure,PG-13,206362140,213962184,2013,11,November,4,2010,Fall,1.036828674,42,75,0.0725,0.1295,$100–300M,Thor
Kaze Tachinu,2013-11-08,Drama,PG-13,5201879,5367415,2013,11,November,4,2010,Fall,1.031822347,511,540,0.8826,0.9326,<$10M,Kaze Tachinu
Frozen,2013-11-22,Adventure,PG,400738009,414997174,2013,11,November,4,2010,Fall,1.035582262,11,24,0.019,0.0415,>$300M,Frozen
Delivery Man,2013-11-22,Comedy,PG-13,30659817,31787136,2013,11,November,4,2010,Fall,1.036768615,291,388,0.5026,0.6701,$10–50M,Delivery Man
Saving Mr. Banks,2013-12-13,Drama,PG-13,83299761,86249969,2013,12,December,4,2010,Winter,1.035416764,133,209,0.2297,0.361,$50–100M,Saving Mr. Banks
Need for Speed,2014-03-14,Action,PG-13,43568507,44955015,2014,3,March,1,2010,Spring,1.031823629,244,331,0.4214,0.5717,$10–50M,Need for Speed
Muppets Most Wanted,2014-03-21,Comedy,PG,51178893,52807594,2014,3,March,1,2010,Spring,1.031823686,211,302,0.3644,0.5216,$50–100M,Muppets Most Wanted
Captain America: The Winter Soldier,2014-04-04,Action,PG-13,259746958,268013076,2014,4,April,2,2010,Spring,1.031823734,26,54,0.0449,0.0933,$100–300M,Captain America
Bears,2014-04-18,Documentary,G,17780194,18346024,2014,4,April,2,2010,Spring,1.031823612,397,457,0.6857,0.7893,$10–50M,Bears
Million Dollar Arm,2014-05-10,Drama,PG,36447959,37607865,2014,5,May,2,2010,Spring,1.03182362,267,359,0.4611,0.62,$10–50M,Million Dollar Arm
Maleficent,2014-05-30,Adventure,PG,241407328,249089809,2014,5,May,2,2010,Spring,1.031823727,30,65,0.0518,0.1123,$100–300M,Maleficent
Planes: Fire and Rescue,2014-07-18,Adventure,PG,59157732,61040349,2014,7,July,3,2010,Summer,1.031823685,184,267,0.3178,0.4611,$50–100M,Planes
Guardians of the Galaxy,2014-08-01,Adventure,PG-13,333172112,343771168,2014,8,August,3,2010,Summer,1.031812555,17,38,0.0294,0.0656,>$300M,Guardians of the Galaxy
The Hundred-Foot Journey,2014-08-08,Romantic Comedy,PG,54235441,55961409,2014,8,August,3,2010,Summer,1.031823619,200,284,0.3454,0.4905,$50–100M,The Hundred-Foot Journey
"Alexander and the Terrible, Horrible,…",2014-10-10,Comedy,PG,66954149,69055550,2014,10,October,4,2010,Fall,1.031385673,160,245,0.2763,0.4231,$50–100M,"Alexander and the Terrible, Horrible,…"
Big Hero 6,2014-11-07,Adventure,PG,222527828,229249222,2014,11,November,4,2010,Fall,1.030204735,37,70,0.0639,0.1209,$100–300M,Big Hero 6
Into the Woods,2014-12-25,Musical,PG,128002372,130894237,2014,12,December,4,2010,Winter,1.022592277,80,135,0.1382,0.2332,$100–300M,Into the Woods
Strange Magic,2015-01-23,Adventure,PG,12429583,12429583,2015,1,January,1,2010,Winter,1,440,492,0.7599,0.8497,$10–50M,Strange Magic
"McFarland, USA",2015-02-20,Drama,PG,44480275,44480275,2015,2,February,1,2010,Winter,1,237,332,0.4093,0.5734,$10–50M,"McFarland, USA"
Cinderella,2015-03-13,Drama,PG,201151353,201151353,2015,3,March,1,2010,Spring,1,44,82,0.076,0.1416,$100–300M,Cinderella
Monkey Kingdom,2015-04-17,Documentary,G,16432322,16432322,2015,4,April,2,2010,Spring,1,408,466,0.7047,0.8048,$10–50M,Monkey Kingdom
Avengers: Age of Ultron,2015-05-01,Action,PG-13,459005868,459005868,2015,5,May,2,2010,Spring,1,5,18,0.0086,0.0311,>$300M,Avengers
Tomorrowland,2015-05-22,Adventure,PG,93436322,93436322,2015,5,May,2,2010,Spring,1,112,193,0.1934,0.3333,$50–100M,Tomorrowland
Inside Out,2015-06-19,Adventure,PG,356461711,356461711,2015,6,June,2,2010,Summer,1,14,34,0.0242,0.0587,>$300M,Inside Out
Ant-Man,2015-07-17,Action,PG-13,180202163,180202163,2015,7,July,3,2010,Summer,1,52,97,0.0898,0.1675,$100–300M,Ant-Man
Bridge of Spies,2015-10-16,Thriller/Suspense,PG-13,72313754,72313754,2015,10,October,4,2010,Fall,1,151,238,0.2608,0.4111,$50–100M,Bridge of Spies
The Good Dinosaur,2015-11-25,Adventure,PG,123087120,123087120,2015,11,November,4,2010,Fall,1,84,141,0.1451,0.2435,$100–300M,The Good Dinosaur
Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,936662225,936662225,2015,12,December,4,2010,Winter,1,1,7,0.0017,0.0121,>$300M,Star Wars Ep. VII
The Finest Hours,2016-01-29,Thriller/Suspense,PG,27569558,27569558,2016,1,January,1,2010,Winter,1,313,410,0.5406,0.7081,$10–50M,The Finest Hours
Zootopia,2016-03-04,Adventure,PG,341268248,341268248,2016,3,March,1,2010,Spring,1,15,39,0.0259,0.0674,>$300M,Zootopia
The Jungle Book,2016-04-15,Adventure,PG,364001123,364001123,2016,4,April,2,2010,Spring,1,13,30,0.0225,0.0518,>$300M,The Jungle Book
A Beautiful Planet,2016-04-29,Documentary,G,7895708,7895708,2016,4,April,2,2010,Spring,1,486,520,0.8394,0.8981,<$10M,A Beautiful Planet
Captain America: Civil War,2016-05-06,Action,PG-13,408084349,408084349,2016,5,May,2,2010,Spring,1,10,25,0.0173,0.0432,>$300M,Captain America
Alice Through the Looking Glass,2016-05-27,Adventure,PG,77042381,77042381,2016,5,May,2,2010,Spring,1,142,228,0.2453,0.3938,$50–100M,Alice Through the Looking Glass
Finding Dory,2016-06-17,Adventure,PG,486295561,486295561,2016,6,June,2,2010,Summer,1,4,16,0.0069,0.0276,>$300M,Finding Dory
The BFG,2016-07-01,Adventure,PG,55483770,55483770,2016,7,July,3,2010,Summer,1,197,287,0.3402,0.4957,$50–100M,The BFG
Pete’s Dragon,2016-08-12,Adventure,PG,76233151,76233151,2016,8,August,3,2010,Summer,1,144,231,0.2487,0.399,$50–100M,Pete’s Dragon
The Light Between Oceans,2016-09-02,Drama,PG-13,12545979,12545979,2016,9,September,3,2010,Fall,1,437,491,0.7547,0.848,$10–50M,The Light Between Oceans
Queen of Katwe,2016-09-23,Drama,PG,8874389,8874389,2016,9,September,3,2010,Fall,1,474,516,0.8187,0.8912,<$10M,Queen of Katwe
Doctor Strange,2016-11-04,Adventure,PG-13,232532923,232532923,2016,11,November,4,2010,Fall,1,34,69,0.0587,0.1192,$100–300M,Doctor Strange
Moana,2016-11-23,Adventure,PG,246082029,246082029,2016,11,November,4,2010,Fall,1,27,66,0.0466,0.114,$100–300M,Moana
Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,529483936,529483936,2016,12,December,4,2010,Winter,1,3,13,0.0052,0.0225,>$300M,Rogue One
