Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross,Release Year,Release Month,Release Month Name,Release Quarter,Decade,Season,Inflation Multiplier,Rank (Nominal),Rank (Inflation Adj),Pct (Nominal),Pct (Inflation Adj),Gross Bucket (Nominal),Franchise Tag
Dead Poets Society,1989-06-02,Drama,PG,95860116,202531517,1989,6,June,2,1980,Summer,2.112781889,107,80,0.1848,0.1382,$50–100M,Dead Poets Society
"Honey, I Shrunk the Kids",1989-06-23,Adventure,PG,130724172,276191669,1989,6,June,2,1980,Summer,2.112781934,79,52,0.1364,0.0898,$100–300M,"Honey, I Shrunk the Kids"
Turner & Hooch,1989-07-28,Comedy,PG,71079915,150176361,1989,7,July,3,1980,Summer,2.112781944,154,119,0.266,0.2055,$50–100M,Turner & Hooch
Cheetah,1989-08-18,Adventure,G,7882250,16653473,1989,8,August,3,1980,Summer,2.11278163,487,464,0.8411,0.8014,<$10M,Cheetah
An Innocent Man,1989-10-06,Drama,R,19397847,40983414,1989,10,October,4,1980,Fall,2.112781589,382,348,0.6598,0.601,$10–50M,An Innocent Man
Gross Anatomy,1989-10-20,Drama,PG-13,11346186,23972012,1989,10,October,4,1980,Fall,2.112781511,447,429,0.772,0.7409,$10–50M,Gross Anatomy
The Little Mermaid,1989-11-15,Adventure,G,111543479,223726012,1989,11,November,4,1980,Fall,2.005729192,92,71,0.1589,0.1226,$100–300M,The Little Mermaid
Blaze,1989-12-13,Drama,R,19049727,39884640,1989,12,December,4,1980,Winter,2.093711894,386,353,0.6667,0.6097,$10–50M,Blaze
Stella,1990-02-02,Drama,PG-13,20062347,40077147,1990,2,February,1,1990,Winter,1.997630038,373,351,0.6442,0.6062,$10–50M,Stella
Where the Heart Is,1990-02-23,Comedy,PG-13,1106475,2210321,1990,2,February,1,1990,Winter,1.997623986,552,550,0.9534,0.9499,<$10M,Where the Heart Is
Pretty Woman,1990-03-23,Romantic Comedy,R,178406268,356389765,1990,3,March,1,1990,Spring,1.997630291,53,35,0.0915,0.0604,$100–300M,Pretty Woman
Ernest Goes to Jail,1990-04-06,Comedy,PG,25029569,49999822,1990,4,April,2,1990,Spring,1.997630163,330,312,0.5699,0.5389,$10–50M,Ernest Goes to Jail
Spaced Invaders,1990-04-27,Comedy,PG,15000000,29964452,1990,4,April,2,1990,Spring,1.997630133,420,397,0.7254,0.6857,$10–50M,Spaced Invaders
Fire Birds,1990-05-24,Action,PG-13,14760451,29485923,1990,5,May,2,1990,Spring,1.997630221,422,402,0.7288,0.6943,$10–50M,Fire Birds
Dick Tracy,1990-06-15,Action,PG,103738726,207231621,1990,6,June,2,1990,Summer,1.997630287,99,77,0.171,0.133,$100–300M,Dick Tracy
Betsy's Wedding,1990-06-22,Comedy,R,19740070,39433357,1990,6,June,2,1990,Summer,1.997630049,378,355,0.6528,0.6131,$10–50M,Betsy's Wedding
Arachnophobia,1990-07-18,Thriller/Suspense,PG-13,53208180,106290270,1990,7,July,3,1990,Summer,1.997630252,203,166,0.3506,0.2867,$50–100M,Arachnophobia
DuckTales: The Movie - Treasure of the lost lamp,1990-08-03,Adventure,G,18075331,36107823,1990,8,August,3,1990,Summer,1.997629974,395,365,0.6822,0.6304,$10–50M,DuckTales
Taking Care of Business,1990-08-17,Comedy,R,20005435,39963460,1990,8,August,3,1990,Summer,1.997630144,374,352,0.6459,0.6079,$10–50M,Taking Care of Business
Mr. Destiny,1990-10-12,Comedy,PG-13,15379253,30722056,1990,10,October,4,1990,Fall,1.997629924,415,392,0.7168,0.677,$10–50M,Mr. Destiny
The Rescuers Down Under,1990-11-16,Adventure,G,27931461,55796728,1990,11,November,4,1990,Fall,1.997630128,310,285,0.5354,0.4922,$10–50M,The Rescuers Down Under
3 Men and a Little Lady,1990-11-21,Comedy,PG,71609321,143108869,1990,11,November,4,1990,Fall,1.998467057,153,123,0.2642,0.2124,$50–100M,3 Men and a Little Lady
Green Card,1990-12-25,Romantic Comedy,PG-13,29804169,59679131,1990,12,December,4,1990,Winter,2.002375272,295,274,0.5095,0.4732,$10–50M,Green Card
White Fang,1991-01-18,Adventure,PG,34729091,69540672,1991,1,January,1,1990,Winter,2.002375242,273,244,0.4715,0.4214,$10–50M,White Fang
Scenes from a Mall,1991-02-22,Comedy,PG-13,9563393,19149495,1991,2,February,1,1990,Winter,2.002374576,465,454,0.8031,0.7841,<$10M,Scenes from a Mall
Haakon Haakonsen,1991-03-01,Adventure,PG,15024232,30084149,1991,3,March,1,1990,Spring,2.002375163,419,395,0.7237,0.6822,$10–50M,Haakon Haakonsen
The Marrying Man,1991-04-05,Romantic Comedy,R,12454768,24939118,1991,4,April,2,1990,Spring,2.002375155,438,424,0.7565,0.7323,$10–50M,The Marrying Man
Oscar,1991-04-26,Comedy,PG,23562716,47181395,1991,4,April,2,1990,Spring,2.002375066,344,322,0.5941,0.5561,$10–50M,Oscar
One Good Cop,1991-05-03,Action,R,11276846,22580472,1991,5,May,2,1990,Spring,2.002374777,450,436,0.7772,0.753,$10–50M,One Good Cop
What About Bob?,1991-05-17,Comedy,PG,63710000,127571325,1991,5,May,2,1990,Spring,2.002375216,172,138,0.2971,0.2383,$50–100M,What About Bob?
Wild Hearts Can't Be Broken,1991-05-24,Drama,G,7300000,14617333,1991,5,May,2,1990,Spring,2.002374384,492,478,0.8497,0.8256,<$10M,Wild Hearts Can't Be Broken
The Rocketeer,1991-06-21,Action,PG,46573027,93256673,1991,6,June,2,1990,Summer,2.002375173,230,194,0.3972,0.3351,$10–50M,The Rocketeer
The Doctor,1991-07-24,Drama,PG-13,37497480,75084021,1991,7,July,3,1990,Summer,2.00237512,261,233,0.4508,0.4024,$10–50M,The Doctor
Paradise,1991-09-18,Drama,PG-13,18634643,37313540,1991,9,September,3,1990,Fall,2.002374824,388,361,0.6701,0.6235,$10–50M,Paradise
